NAME,TEAM,POS,SALARY,YEARS,TOTAL VALUE,AVG ANNUAL
"Lester, Jon",BOS,P,$11625000,5 (2009-13),$30000000,$6000000
"Wilson, C.J.",LAA,P,$11500000,5 (2012-16),$77500000,$15500000
"Nolasco, Ricky",MIA,P,$11500000,3 (2011-13),$26500000,$8833333
"Shields, James",KC,P,$11250000,1 (2013),$11250000,$11250000
"Buehrle, Mark",TOR,P,$11000000,4 (2012-15),$58000000,$14500000
"Swisher, Nick",CLE,DH,$11000000,4 (2013-16),$56000000,$14000000
"Weeks, Rickie",MIL,2B,$11000000,4 (2011-14),$38500000,$9625000
"Billingsley, Chad",LAD,P,$11000000,3 (2012-14),$35000000,$11666667
"Rollins, Jimmy",PHI,SS,$11000000,3 (2012-14),$33000000,$11000000
"De La Rosa, Jorge",COL,P,$11000000,1 (2013),$11000000,$11000000
"Cuddyer, Michael",COL,OF,$10500000,3 (2012-14),$31500000,$10500000
"Hart, Corey",MIL,OF,$10333333,3 (2011-13),$26500000,$8833333
"Pedroia, Dustin",BOS,2B,$10250000,6 (2009-14),$40500000,$6750000
"Cruz, Nelson",TEX,OF,$10250000,2 (2012-13),$16000000,$8000000
"Garza, Matt",CHC,P,$10250000,1 (2013),$10250000,$10250000
"Wright, David",NYM,3B,$10192071,8 (2013-20),$138000000,$17250000
"Marmol, Carlos",CHC,P,$10133333,3 (2011-13),$20000000,$6666667
"Phillips, Brandon",CIN,2B,$10083333,6 (2012-17),$72500000,$12083333
"Tulowitzki, Troy",COL,SS,$10000000,10 (2011-20),$157750000,$15775000
"Reyes, Jose",TOR,SS,$10000000,6 (2012-17),$106000000,$17666666
"Montero, Miguel",CHC,C,$10000000,5 (2013-17),$60000000,$12000000
"Montero, Miguel",ARI,C,$10000000,5 (2013-17),$60000000,$12000000
"Roberts, Brian",BAL,2B,$10000000,4 (2010-13),$40000000,$10000000
"Ramirez, Aramis",MIL,3B,$10000000,3 (2012-14),$36000000,$12000000
"LaRoche, Adam",WSH,1B,$10000000,2 (2013-14),$24000000,$12000000
"Berkman, Lance",TEX,DH,$10000000,2 (2012-13),$16000000,$8000000
"Rivera, Mariano",NYY,P,$10000000,1 (2013),$10000000,$10000000
"Price, David",TB,P,$9831954,1 (2013),$9831954,$9831954
"Darvish, Yu",TEX,P,$9750000,6 (2012-17),$56000000,$9333333
"Upton, Justin",SD,OF,$9750000,6 (2010-15),$51250000,$8541666
"Upton, Justin",ATL,OF,$9750000,6 (2010-15),$51250000,$8541667
"Braun, Ryan",MIL,OF,$9611111,8 (2008-15),$45000000,$5625000
"Floyd, Gavin",CWS,P,$9500000,1 (2013),$9500000,$9500000
"Drew, Stephen",BOS,SS,$9500000,1 (2013),$9500000,$9500000
"Kendrick, Howie",LAA,2B,$9100000,4 (2012-15),$33500000,$8375000
"Gordon, Alex",KC,OF,$9000000,4 (2012-15),$37500000,$9375000
"Bell, Heath",ARI,P,$9000000,3 (2012-14),$27000000,$9000000
"Ellsbury, Jacoby",BOS,OF,$9000000,1 (2013),$9000000,$9000000
"Hudson, Tim",ATL,P,$9000000,1 (2013),$9000000,$9000000
"Jones, Adam",BAL,OF,$8833333,6 (2013-18),$85500000,$14250000
"Sanchez, Anibal",DET,P,$8800000,5 (2013-17),$80000000,$16000000
"Aybar, Erick",LAA,SS,$8750000,4 (2013-16),$35000000,$8750000
"Westbrook, Jake",STL,P,$8750000,1 (2013),$8750000,$8750000
"Headley, Chase",SD,3B,$8575000,1 (2013),$8575000,$8575000
"Cespedes, Yoenis",DET,OF,$8500000,4 (2012-15),$36000000,$9000000
"Butler, Billy",KC,DH,$8500000,4 (2011-14),$30000000,$7500000
"Young, Chris",OAK,OF,$8500000,1 (2013),$8500000,$8500000
"Vargas, Jason",LAA,P,$8500000,1 (2013),$8500000,$8500000
"Pagan, Angel",SF,OF,$8250000,4 (2013-16),$40000000,$10000000
"Posey, Buster",SF,C,$8000000,9 (2013-21),$167000000,$18555555
"Gallardo, Yovani",MIL,P,$8000000,5 (2010-14),$30100000,$6020000
"Encarnacion, Edwin",TOR,DH,$8000000,3 (2013-15),$29000000,$9666666
"Morrow, Brandon",TOR,P,$8000000,3 (2012-14),$21000000,$7000000
"Cabrera, Melky",TOR,OF,$8000000,2 (2013-14),$16000000,$8000000
"Nathan, Joe",TEX,P,$8000000,2 (2012-13),$14750000,$7375000
"Gonzalez, Carlos",COL,OF,$7928571,7 (2011-17),$80000000,$11428571
"Bruce, Jay",CIN,OF,$7541667,6 (2011-16),$51000000,$8500000
"Martin, Russell",PIT,C,$7500000,2 (2013-14),$17000000,$8500000
"Kubel, Jason",ARI,OF,$7500000,2 (2012-13),$16000000,$8000000
"Furcal, Rafael",STL,SS,$7500000,2 (2012-13),$14000000,$7000000
"Pierzynski, A.J.",TEX,C,$7500000,1 (2013),$7500000,$7500000
"Hardy, J.J.",BAL,SS,$7416667,3 (2012-14),$22250000,$7416667
"Cueto, Johnny",CIN,P,$7400000,4 (2011-14),$27000000,$6750000
"Choo, Shin-Soo",CIN,OF,$7375000,1 (2013),$7375000,$7375000
"Gutierrez, Franklin",SEA,OF,$7312500,4 (2010-13),$20250000,$5062500
"Perez, Chris",CLE,P,$7300000,1 (2013),$7300000,$7300000
"Uribe, Juan",LAD,3B,$7295911,3 (2011-13),$21000000,$7000000
"Hughes, Phil",NYY,P,$7150000,1 (2013),$7150000,$7150000
"Hanrahan, Joel",BOS,P,$7040000,1 (2013),$7040000,$7040000
"Bourn, Michael",CLE,OF,$7000000,4 (2013-16),$48000000,$12000000
"Prado, Martin",MIA,3B,$7000000,4 (2013-16),$40000000,$10000000
"Prado, Martin",ARI,3B,$7000000,4 (2013-16),$40000000,$10000000
"Ramirez, Alexei",CWS,SS,$7000000,4 (2012-15),$32500000,$8125000
"Willingham, Josh",MIN,OF,$7000000,3 (2012-14),$21000000,$7000000
"Crisp, Coco",OAK,OF,$7000000,2 (2012-13),$14000000,$7000000
"Street, Huston",SD,P,$7000000,2 (2013-14),$14000000,$7000000
"Myers, Brett",CLE,P,$7000000,1 (2013),$7000000,$7000000
"Francoeur, Jeff",KC,OF,$6750000,2 (2012-13),$13500000,$6750000
"Morse, Michael",SEA,OF,$6750000,2 (2012-13),$10500000,$5250000
"Hammel, Jason",BAL,P,$6750000,1 (2013),$6750000,$6750000
"Scherzer, Max",DET,P,$6725000,1 (2013),$6725000,$6725000
"Scutaro, Marco",SF,2B,$6666667,3 (2013-15),$20000000,$6666667
"Cabrera, Asdrubal",CLE,SS,$6500000,2 (2013-14),$16500000,$8250000
"Blanton, Joe",LAA,P,$6500000,2 (2013-14),$15000000,$7500000
"Suzuki, Ichiro",NYY,OF,$6500000,2 (2013-14),$13000000,$6500000
"Francisco, Frank",NYM,P,$6500000,2 (2012-13),$12000000,$6000000
"Putz, J.J.",ARI,P,$6500000,2 (2011-12),$10000000,$5000000
"Johnson, Jim",BAL,P,$6500000,1 (2013),$6500000,$6500000
"Maholm, Paul",ATL,P,$6500000,1 (2013),$6500000,$6500000
"Suzuki, Kurt",WSH,C,$6450000,4 (2010-13),$16250000,$4062500
"Capuano, Chris",LAD,P,$6375000,2 (2012-13),$10000000,$5000000
"Gonzalez, Gio",WSH,P,$6350000,5 (2012-16),$42000000,$8400000
"Ross, Cody",ARI,OF,$6000000,3 (2013-15),$26000000,$8666667
"Affeldt, Jeremy",SF,P,$6000000,3 (2013-15),$18000000,$6000000
"Buck, John",NYM,C,$6000000,3 (2011-13),$18000000,$6000000
"Harang, Aaron",LAD,P,$6000000,2 (2012-13),$12000000,$6000000
"Peralta, Jhonny",DET,SS,$6000000,1 (2013),$6000000,$6000000
"Saunders, Joe",SEA,P,$6000000,1 (2013),$6000000,$6000000
"Reynolds, Mark",CLE,DH,$6000000,1 (2013),$6000000,$6000000
"Garcia, Jaime",STL,P,$5875000,4 (2012-15),$27000000,$6750000
"Castro, Starlin",CHC,SS,$5857143,7 (2013-19),$60000000,$8571428
"Murphy, David",TEX,OF,$5775000,1 (2013),$5775000,$5775000
"Buchholz, Clay",BOS,P,$5750000,4 (2012-15),$29945000,$7486250
"Anderson, Brett",OAK,P,$5750000,4 (2010-13),$12500000,$3125000
"Jimenez, Ubaldo",CLE,P,$5750000,1 (2013),$5750000,$5750000
"Volquez, Edinson",SD,P,$5725000,1 (2013),$5725000,$5725000
"Sandoval, Pablo",SF,3B,$5700000,3 (2012-14),$17150000,$5716667
"Masterson, Justin",CLE,P,$5687500,1 (2013),$5687500,$5687500
"Zobrist, Ben",TB,OF,$5687300,4 (2010-13),$18000000,$4500000
"Cahill, Trevor",ARI,P,$5500000,5 (2011-15),$30500000,$6100000
"League, Brandon",LAD,P,$5500000,3 (2013-15),$22500000,$7500000
"Benoit, Joaquin",DET,P,$5500000,3 (2011-13),$16500000,$5500000
"Thornton, Matt",CWS,P,$5500000,2 (2012-13),$12000000,$6000000
"Hill, Aaron",ARI,2B,$5500000,2 (2012-13),$11000000,$5500000
"Barmes, Clint",PIT,SS,$5500000,2 (2012-13),$10500000,$5250000
"Wieters, Matt",BAL,C,$5500000,1 (2013),$5500000,$5500000
"Baker, Scott",CHC,P,$5500000,1 (2013),$5500000,$5500000
"Bailey, Homer",CIN,P,$5350000,1 (2013),$5350000,$5350000
"Zimmermann, Jordan",WSH,P,$5350000,1 (2013),$5350000,$5350000
"McCarthy, Brandon",ARI,P,$5250000,2 (2013-14),$15500000,$7750000
"Ellis, Mark",LAD,2B,$5250000,2 (2012-13),$8750000,$4375000
"Morales, Kendrys",SEA,DH,$5250000,1 (2013),$5250000,$5250000
"Richard, Clayton",SD,P,$5240000,1 (2013),$5240000,$5240000
"Harrison, Matt",TEX,P,$5200000,5 (2013-17),$55000000,$11000000
"Lind, Adam",TOR,1B,$5150000,1 (2013),$5150000,$5150000
"Porcello, Rick",DET,P,$5100000,1 (2013),$5100000,$5100000
"Iannetta, Chris",LAA,C,$5050000,3 (2013-15),$15500000,$5166667
"Andrus, Elvis",TEX,SS,$5050000,3 (2012-14),$14400000,$4800000
"Guthrie, Jeremy",KC,P,$5000000,3 (2013-15),$25000000,$8333333
"Downs, Scott",LAA,P,$5000000,3 (2011-13),$15000000,$5000000
"Adams, Mike",PHI,P,$5000000,2 (2013-14),$12000000,$6000000
"Gomes, Jonny",BOS,DH,$5000000,2 (2013-14),$10000000,$5000000
"Ruiz, Carlos",PHI,C,$5000000,1 (2013),$5000000,$5000000
"Villanueva, Carlos",CHC,P,$5000000,1 (2013),$5000000,$5000000
"Axford, John",MIL,P,$5000000,1 (2013),$5000000,$5000000
"Napoli, Mike",BOS,1B,$5000000,1 (2013),$5000000,$5000000
"Dickey, R.A.",TOR,P,$5000000,1 (2013),$5000000,$5000000
"Chapman, Aroldis",CIN,P,$4835772,6 (2010-15),$30250000,$5041667
"Span, Denard",WSH,OF,$4750000,5 (2010-14),$16500000,$3300000
"Guerrier, Matt",LAD,P,$4711499,3 (2011-13),$12000000,$4000000
"McCutchen, Andrew",PIT,OF,$4708333,6 (2012-17),$51500000,$8583333
"Rasmus, Colby",TOR,OF,$4675000,1 (2013),$4675000,$4675000
"Marshall, Sean",CIN,P,$4625000,3 (2013-15),$16500000,$5500000
"Hochevar, Luke",KC,P,$4560000,1 (2013),$4560000,$4560000
"Crain, Jesse",CWS,P,$4500000,3 (2011-13),$13000000,$4333333
"Motte, Jason",STL,P,$4500000,2 (2013-14),$12000000,$6000000
"Correia, Kevin",MIN,P,$4500000,2 (2013-14),$10000000,$5000000
"Chen, Bruce",KC,P,$4500000,2 (2012-13),$9000000,$4500000
"Kendrick, Kyle",PHI,P,$4500000,2 (2012-13),$7500000,$3750000
"Jones, Garrett",PIT,1B,$4500000,1 (2013),$4500000,$4500000
"Balfour, Grant",OAK,P,$4500000,1 (2013),$4500000,$4500000
"Saltalamacchia, Jarrod",BOS,C,$4500000,1 (2013),$4500000,$4500000
"O`Flaherty, Eric",ATL,P,$4320000,1 (2013),$4320000,$4320000
"Gomez, Carlos",MIL,OF,$4300000,1 (2013),$4300000,$4300000
"Kennedy, Ian",ARI,P,$4265000,1 (2013),$4265000,$4265000
"Latos, Mat",CIN,P,$4250000,2 (2013-14),$11500000,$5750000
"DeJesus, David",CHC,OF,$4250000,2 (2012-13),$10000000,$5000000
"Lopez, Javier",SF,P,$4250000,2 (2012-13),$8500000,$4250000
"Betancourt, Rafael",COL,P,$4250000,2 (2012-13),$8500000,$4250000
"Uehara, Koji",BOS,P,$4250000,1 (2013),$4250000,$4250000
"Casilla, Santiago",SF,P,$4166667,3 (2013-15),$15000000,$5000000
"Callaspo, Alberto",LAA,3B,$4100000,2 (2013-14),$8975000,$4487500
"Belisle, Matt",COL,P,$4100000,2 (2012-13),$8125000,$4062500
"Bailey, Andrew",BOS,P,$4100000,1 (2013),$4100000,$4100000
"Lohse, Kyle",MIL,P,$4000000,3 (2013-15),$33000000,$11000000
"Broxton, Jonathan",CIN,P,$4000000,3 (2013-15),$21000000,$7000000
"Infante, Omar",DET,2B,$4000000,2 (2012-13),$8000000,$4000000
"Fister, Doug",DET,P,$4000000,1 (2013),$4000000,$4000000
"Pelfrey, Mike",MIN,P,$4000000,1 (2013),$4000000,$4000000
"Marcum, Shaun",NYM,P,$4000000,1 (2013),$4000000,$4000000
"Clippard, Tyler",WSH,P,$4000000,1 (2013),$4000000,$4000000
"Janssen, Casey",TOR,P,$3900000,2 (2012-13),$5900000,$2950000
"Strasburg, Stephen",WSH,P,$3900000,1 (2013),$3900000,$3900000
"Desmond, Ian",WSH,SS,$3800000,1 (2013),$3800000,$3800000
"Fowler, Dexter",COL,OF,$3750000,2 (2013-14),$11600000,$5800000
"Carroll, Jamey",MIN,2B,$3750000,2 (2012-13),$6500000,$3250000
"Hairston Jr., Jerry",LAD,OF,$3750000,2 (2012-13),$6000000,$3000000
"Hanson, Tommy",LAA,P,$3725000,1 (2013),$3725000,$3725000
"Happ, J.A.",TOR,P,$3700000,2 (2013-14),$8900000,$4450000
"Smith, Seth",OAK,OF,$3675000,1 (2013),$3675000,$3675000
"Heyward, Jason",ATL,OF,$3650000,1 (2013),$3650000,$3650000
"Burnett, Sean",LAA,P,$3625000,2 (2013-14),$8000000,$4000000
"Keppinger, Jeff",CWS,3B,$3500000,3 (2013-15),$12000000,$4000000
"Romo, Sergio",SF,P,$3500000,2 (2013-14),$9000000,$4500000
"Doumit, Ryan",MIN,C,$3500000,2 (2013-14),$7000000,$3500000
"Jackson, Austin",DET,OF,$3500000,1 (2013),$3500000,$3500000
"Dotel, Octavio",DET,P,$3500000,1 (2013),$3500000,$3500000
"Madson, Ryan",LAA,P,$3500000,1 (2013),$3500000,$3500000
"Davis, Chris",BAL,1B,$3300000,1 (2013),$3300000,$3300000
"Walker, Neil",PIT,2B,$3300000,1 (2013),$3300000,$3300000
"Martin, Leonys",TEX,CF,$3250000,5 (2011-15),$15500000,$3100000
"Ryan, Brendan",SEA,SS,$3250000,1 (2013),$3250000,$3250000
"Hernandez, Roberto",TB,P,$3250000,1 (2013),$3250000,$3250000
"Holland, Derek",TEX,P,$3200000,5 (2012-16),$28500000,$5700000
"Mujica, Edward",STL,P,$3200000,1 (2013),$3200000,$3200000
"Gregerson, Luke",SD,P,$3200000,1 (2013),$3200000,$3200000
"Logan, Boone",NYY,P,$3150000,1 (2013),$3150000,$3150000
"Ziegler, Brad",ARI,P,$3150000,1 (2013),$3150000,$3150000
"Freese, David",STL,3B,$3150000,1 (2013),$3150000,$3150000
"Smith, Joe",CLE,P,$3150000,1 (2013),$3150000,$3150000
"Davis, Ike",NYM,1B,$3125000,1 (2013),$3125000,$3125000
"Ross, David",BOS,C,$3100000,2 (2013-14),$6200000,$3100000
"Masset, Nick",CIN,P,$3100000,2 (2012-13),$5500000,$2750000
"Robertson, David",NYY,P,$3100000,1 (2013),$3100000,$3100000
"Leake, Mike",CIN,P,$3060000,1 (2013),$3060000,$3060000
"Niese, Jon",NYM,P,$3050000,5 (2012-16),$25519500,$5103900
"McDonald, James",PIT,P,$3025000,1 (2013),$3025000,$3025000
"Escobar, Alcides",KC,SS,$3000000,4 (2012-15),$10500000,$2625000
"Izturis, Maicer",TOR,3B,$3000000,3 (2013-15),$10000000,$3333333
"Hundley, Nick",SD,C,$3000000,3 (2012-14),$9000000,$3000000
"Peralta, Joel",TB,P,$3000000,2 (2013-14),$6000000,$3000000
"Colon, Bartolo",OAK,P,$3000000,1 (2013),$3000000,$3000000
"Norris, Bud",HOU,P,$3000000,1 (2013),$3000000,$3000000
"Oliver, Darren",TOR,P,$3000000,1 (2013),$3000000,$3000000
"Chavez, Eric",ARI,3B,$3000000,1 (2013),$3000000,$3000000
"Marquis, Jason",SD,P,$3000000,1 (2013),$3000000,$3000000
"Niemann, Jeff",TB,P,$3000000,1 (2013),$3000000,$3000000
"Avila, Alex",DET,C,$2950000,1 (2013),$2950000,$2950000
"Roberts, Ryan",TB,3B,$2950000,1 (2013),$2950000,$2950000
"Murphy, Daniel",NYM,2B,$2925000,1 (2013),$2925000,$2925000
"Beckham, Gordon",CWS,2B,$2925000,1 (2013),$2925000,$2925000
"Pena, Carlos",HOU,DH,$2900000,1 (2013),$2900000,$2900000
"Feliz, Neftali",TEX,P,$2900000,1 (2013),$2900000,$2900000
"Gardner, Brett",NYY,OF,$2850000,1 (2013),$2850000,$2850000
"Howell, J.P.",LAD,P,$2850000,1 (2013),$2850000,$2850000
"Stubbs, Drew",CLE,OF,$2825000,1 (2013),$2825000,$2825000
"Davis, Wade",KC,P,$2800000,4 (2011-14),$12600000,$3150000
"Viciedo, Dayan",CWS,OF,$2800000,1 (2013),$2800000,$2800000
"Santos, Sergio",TOR,P,$2750000,3 (2012-14),$8250000,$2750000
"Gorzelanny, Tom",MIL,P,$2750000,2 (2013-14),$5700000,$2850000
"Soto, Geovany",TEX,C,$2750000,1 (2013),$2750000,$2750000
"Scott, Luke",TB,DH,$2750000,1 (2013),$2750000,$2750000
"Venable, Will",SD,OF,$2675000,1 (2013),$2675000,$2675000
"Aceves, Alfredo",BOS,P,$2650000,1 (2013),$2650000,$2650000
"Samardzija, Jeff",CHC,P,$2640000,1 (2013),$2640000,$2640000
"Bonifacio, Emilio",TOR,2B,$2600000,1 (2013),$2600000,$2600000
"Medlen, Kris",ATL,P,$2600000,1 (2013),$2600000,$2600000
"Longoria, Evan",TB,3B,$2500018,10 (2013-22),$136000000,$13600000
"Perkins, Glen",MIN,P,$2500000,3 (2013-15),$10300000,$3433333
"Grilli, Jason",PIT,P,$2500000,2 (2013-14),$6750000,$3375000
"Wigginton, Ty",STL,1B,$2500000,2 (2013-14),$5000000,$2500000
"Storen, Drew",WSH,P,$2500000,1 (2013),$2500000,$2500000
"Rodney, Fernando",TB,P,$2500000,1 (2013),$2500000,$2500000
"Karstens, Jeff",PIT,P,$2500000,1 (2013),$2500000,$2500000
"Lannan, John",PHI,P,$2500000,1 (2013),$2500000,$2500000
"Davis, Rajai",TOR,OF,$2500000,1 (2013),$2500000,$2500000
"Hairston, Scott",CHC,OF,$2500000,1 (2013),$2500000,$2500000
"Johnson, Kelly",TB,2B,$2450000,1 (2013),$2450000,$2450000
"Joyce, Matt",TB,OF,$2450000,1 (2013),$2450000,$2450000
"Lowrie, Jed",OAK,SS,$2400000,1 (2013),$2400000,$2400000
"Hanigan, Ryan",CIN,C,$2350000,3 (2011-13),$4000000,$1333333
"Parra, Gerardo",ARI,OF,$2350000,1 (2013),$2350000,$2350000
"Detwiler, Ross",WSH,P,$2337500,1 (2013),$2337500,$2337500
"Breslow, Craig",BOS,P,$2325000,1 (2013),$2325000,$2325000
"Lindstrom, Matt",CWS,P,$2300000,1 (2013),$2300000,$2300000
"Johnson, Chris",ATL,3B,$2287500,1 (2013),$2287500,$2287500
"Aviles, Mike",CLE,3B,$2250000,2 (2013-14),$6000000,$3000000
"Gonzalez, Michael",MIL,P,$2250000,1 (2013),$2250000,$2250000
"Schierholtz, Nate",CHC,OF,$2250000,1 (2013),$2250000,$2250000
"O`Day, Darren",BAL,P,$2200000,1 (2013),$2200000,$2200000
"Santiago, Ramon",DET,2B,$2100000,2 (2012-13),$4200000,$2100000
"De Aza, Alejandro",CWS,OF,$2075000,1 (2013),$2075000,$2075000
"Iglesias, Jose",BOS,SS,$2062500,4 (2010-13),$8250000,$2062500
"Burton, Jared",MIN,P,$2050000,2 (2013-14),$5500000,$2750000
"Ludwick, Ryan",CIN,OF,$2000000,2 (2013-14),$15000000,$7500000
"Soria, Joakim",TEX,P,$2000000,2 (2013-14),$8000000,$4000000
"Denorfia, Chris",SD,OF,$2000000,2 (2013-14),$4250000,$2125000
"Betemit, Wilson",BAL,DH,$2000000,2 (2012-13),$3250000,$1625000
"Ellis, A.J.",LAD,C,$2000000,1 (2013),$2000000,$2000000
"Morton, Charlie",PIT,P,$2000000,1 (2013),$2000000,$2000000
"Lewis, Colby",TEX,P,$2000000,1 (2013),$2000000,$2000000
"Stewart, Ian",CHC,3B,$2000000,1 (2013),$2000000,$2000000
"Loney, James",TB,1B,$2000000,1 (2013),$2000000,$2000000
"Williams, Jerome",LAA,P,$2000000,1 (2013),$2000000,$2000000
"McLouth, Nate",BAL,OF,$2000000,1 (2013),$2000000,$2000000
"Hafner, Travis",NYY,DH,$2000000,1 (2013),$2000000,$2000000
"Estrada, Marco",MIL,P,$1955000,1 (2013),$1955000,$1955000
"Bloomquist, Willie",ARI,SS,$1900000,2 (2012-13),$3800000,$1900000
"Chamberlain, Joba",NYY,P,$1875000,1 (2013),$1875000,$1875000
"Veras, Jose",HOU,P,$1850000,1 (2013),$1850000,$1850000
"Coke, Phil",DET,P,$1850000,1 (2013),$1850000,$1850000
"Hunter, Tommy",BAL,P,$1820000,1 (2013),$1820000,$1820000
"Jaso, John",OAK,C,$1800000,1 (2013),$1800000,$1800000
"Mijares, Jose",SF,P,$1800000,1 (2013),$1800000,$1800000
